SD,c,s,b_avg,n,avgSyncTime,avgSyncTimeCIL,avgSyncTimeCIU
0,4,101,0.25,0.25,15.6586,15.6309,15.6966
0,4,101,0.25,0.5,15.6605,15.626,15.6922
0,4,101,0.25,0.75,15.6575,15.6276,15.6814
0,4,101,0.25,1,15.658,15.6319,15.6933
0,4,101,0.25,1.25,15.4511,15.4188,15.4796
0,4,101,0.25,1.5,15.3209,15.2917,15.3515
0,4,101,0.25,1.75,15.2235,15.1961,15.2487
0,4,101,0.25,2,15.1556,15.117,15.1865
0,4,101,0.25,2.25,14.9854,14.9592,15.0088
0,4,101,0.25,2.5,14.8491,14.8148,14.8754
0,4,101,0.25,2.75,14.7374,14.7036,14.7628
0,4,101,0.25,3,14.6518,14.6262,14.6827
0,4,101,0.25,3.25,14.4909,14.462,14.521
0,4,101,0.25,3.5,14.3557,14.3321,14.389
0,4,101,0.25,3.75,14.2415,14.2186,14.262
0,4,101,0.25,4,14.1451,14.1114,14.1755
0,4,101,0.25,4.25,14.2132,14.1848,14.2441
0,4,101,0.25,4.5,14.2765,14.2486,14.3024
0,4,101,0.25,4.75,14.3314,14.2995,14.3573
0,4,101,0.25,5,14.3816,14.3517,14.4065
0,4,101,0.25,5.25,14.3937,14.3567,14.4245
0,4,101,0.25,5.5,14.4038,14.3786,14.4298
0,4,101,0.25,5.75,14.4108,14.3819,14.4358
0,4,101,0.25,6,14.4179,14.3875,14.4434
0,4,101,0.25,6.25,14.3929,14.3622,14.4202
0,4,101,0.25,6.5,14.3698,14.3443,14.4048
0,4,101,0.25,6.75,14.3486,14.3237,14.3745
0,4,101,0.25,7,14.3255,14.2988,14.3586
0,4,101,0.25,7.25,14.2747,14.2469,14.2998
0,4,101,0.25,7.5,14.2293,14.2056,14.2552
0,4,101,0.25,7.75,14.1844,14.1597,14.2158
0,4,101,0.25,8,14.146,14.1184,14.1824
0,4,101,0.25,8.25,14.173,14.1443,14.1959
0,4,101,0.25,8.5,14.2053,14.1714,14.2336
0,4,101,0.25,8.75,14.2313,14.1989,14.2673
0,4,101,0.25,9,14.2597,14.2317,14.2877
0,4,101,0.25,9.25,14.2642,14.2409,14.2948
0,4,101,0.25,9.5,14.2697,14.2378,14.2972
0,4,101,0.25,9.75,14.2794,14.2508,14.3103
0,4,101,0.25,10,14.2842,14.2604,14.309
0,4,101,0.25,10.25,14.2763,14.248,14.2981
0,4,101,0.25,10.5,14.2598,14.2329,14.2877
0,4,101,0.25,10.75,14.252,14.2253,14.2856
0,4,101,0.25,11,14.241,14.2099,14.267
0,4,101,0.25,11.25,14.2153,14.1928,14.2395
0,4,101,0.25,11.5,14.1909,14.1662,14.215
0,4,101,0.25,11.75,14.171,14.14,14.201
0,4,101,0.25,12,14.1448,14.1196,14.1743
0,4,101,0.25,12.25,14.1598,14.1314,14.1875
0,4,101,0.25,12.5,14.1777,14.1525,14.2048
0,4,101,0.25,12.75,14.1962,14.165,14.2219
0,4,101,0.25,13,14.2105,14.1864,14.2356
0,4,101,0.25,13.25,14.2161,14.182,14.2405
0,4,101,0.25,13.5,14.2157,14.1914,14.2413
0,4,101,0.25,13.75,14.2271,14.2024,14.2527
0,4,101,0.25,14,14.2299,14.197,14.2627
0,4,101,0.25,14.25,14.2247,14.1966,14.2531
0,4,101,0.25,14.5,14.2203,14.1882,14.2444
0,4,101,0.25,14.75,14.2104,14.179,14.2391
0,4,101,0.25,15,14.2062,14.1699,14.2398
0,4,101,0.25,15.25,14.1897,14.1652,14.2151
0,4,101,0.25,15.5,14.1728,14.1467,14.2042
0,4,101,0.25,15.75,14.1579,14.1356,14.186
0,4,101,0.25,16,14.1437,14.1179,14.1686
0,4,101,0.25,16.25,14.1542,14.126,14.1848
0,4,101,0.25,16.5,14.1681,14.1407,14.1997
0,4,101,0.25,16.75,14.1775,14.1509,14.2009
0,4,101,0.25,17,14.1852,14.158,14.2122
0,4,101,0.25,17.25,14.1925,14.1674,14.2226
0,4,101,0.25,17.5,14.1916,14.1618,14.2175
0,4,101,0.25,17.75,14.1969,14.1681,14.2245
0,4,101,0.25,18,14.2001,14.1735,14.2227
0,4,101,0.25,18.25,14.1959,14.17,14.2259
0,4,101,0.25,18.5,14.1904,14.1594,14.2129
0,4,101,0.25,18.75,14.1864,14.1628,14.2156
0,4,101,0.25,19,14.1838,14.1557,14.2121
0,4,101,0.25,19.25,14.1752,14.1461,14.2049
0,4,101,0.25,19.5,14.163,14.1355,14.1862
0,4,101,0.25,19.75,14.1546,14.127,14.1816
0,4,101,0.25,20,14.1447,14.1168,14.1754
0,4,101,0.25,20.25,14.1509,14.1222,14.1771
0,4,101,0.25,20.5,14.1578,14.1314,14.188
0,4,101,0.25,20.75,14.1655,14.1311,14.1977
0,4,101,0.25,21,14.1752,14.1477,14.2021
max,4,101,0.25,0.25,14.1442,14.1143,14.1712
max,4,101,0.25,0.5,14.1418,14.1192,14.1696
max,4,101,0.25,0.75,14.1455,14.1212,14.1715
max,4,101,0.25,1,14.1426,14.1184,14.1695
max,4,101,0.25,1.25,14.1458,14.1162,14.1703
max,4,101,0.25,1.5,14.1459,14.1189,14.1736
max,4,101,0.25,1.75,14.1422,14.1122,14.1724
max,4,101,0.25,2,14.1445,14.118,14.1699
max,4,101,0.25,2.25,14.1439,14.1098,14.172
max,4,101,0.25,2.5,14.1449,14.1172,14.1682
max,4,101,0.25,2.75,14.1447,14.1166,14.1691
max,4,101,0.25,3,14.1474,14.1239,14.1773
max,4,101,0.25,3.25,14.1437,14.1191,14.173
max,4,101,0.25,3.5,14.1431,14.1123,14.1687
max,4,101,0.25,3.75,14.145,14.1073,14.1728
max,4,101,0.25,4,14.1444,14.1208,14.1807
